"Thai","Vietnamese","POS_Tags_Thai"
"ꪶꪁꪙ ꪭ꪿ꪺꪣ ꪊꪴ꫁ꪣ","người cùng chi họ","d. cxđ. cxđ."
"ꪊꪴ꫁ꪣ ꪢꪴ꪿ ꪭꪷ꫁ ꪏꪮꪉ","tông chi họ hàng","cxđ. cxđ."
"ꪹꪩꪒ ꪋꪴ꪿ꪣ","rớm máu","t. d."
"ꪹꪙ꫁ ꪘꪰꪉ ꪋꪴ꪿ꪣ","nước da sởn mởn","cxđ. d."
"ꪚꪮꪀ ꪋꪴ꪿ꪣ","hoa tươi","đg. d."
"ꪚ꫁ꪱꪙ ꪹꪣꪉ ꪋꪴ꪿ꪣ ꪮꪸꪙ","bản mường yên vui","d. cxđ."
"ꪹꪓꪷꪥ ꪀꪲꪙ ꪤꪴ꪿ ꪋꪴ꪿ꪣ ꪮꪸꪙ","cuộc sống thanh bình","d. cxđ. cxđ."
"ꪊꪴꪉ ꪊꪳ꪿ ꪹꪭꪙ ꪨꪰꪉ","nhớ nhung quê nhà","cxđ. d. đg."
"ꪊꪴꪉ ꪶꪬ꪿ꪉ ꪵꪝꪉ ꪒꪸꪫ","tưởng nhớ em yêu","cxđ. cxđ. p."
"ꪊꪴꪉ ꪔꪷ꪿ ꪀꪾꪚ ꪩꪴꪀ ꪠꪺ","chung thủy với chồng con","cxđ. d. cxđ."
"ꪊꪴꪉ ꪔꪷ꪿ ꪀꪾꪚ ꪹꪭꪙ ꪹꪣꪉ","trung thành với nhà nước","cxđ. d. cxđ."
"ꪊꪴꪉ ꪵꪄꪙ","dắt tay","cxđ. d."
"ꪹꪮꪱ ꪹꪉꪷꪙ ꪼꪜ ꪋ꫁ꪺꪀ ꪹꪮꪱ ꪹꪋ꪿ꪉ","lấy tiền đi chuộc lại đồ","đg. đg. cxđ. cxđ. đg. cxđ."
"ꪢꪴ ꪊꪺꪙ ꪒꪲꪙ","lợn dũi đất","d. cxđ. d."
"ꪫꪸꪀ ꪊꪺꪙ","việc cần kíp","d. cxđ."
"ꪘ꫁ꪱ ꪫꪸꪀ ꪊꪺꪙ ꪻꪊ","công việc bức thiết","cxđ. cxđ."
"ꪙꪽ ꪊ꪿ꪺꪉ ꪊ꪿ꪺꪉ ꪀꪺꪉ ꪜꪴꪣ","kêu óc ách trong bụng","cxđ. cxđ. d. cxđ."
"ꪋꪺꪉ ꪼꪙ","cái xa","cxđ. d."
"ꪋꪺꪉ ꪼꪢ꪿","guồng máy","cxđ. d."
"ꪖ꫁ꪺꪥ ꪋ꪿ꪺꪉ ꪹꪋ꪿ꪉ ꪀꪲꪙ","bát đựng thức ăn","d. đg. cxđ."
"ꪊꪺꪚ ꪄꪰ꫁ꪉ ꪹꪙꪱ꪿","vớ phải quả thối","p. d. cxđ."
"ꪹꪚꪱ꪿ ꪊꪺꪚ","đừng hòng","cxđ. p."
"ꪊꪺꪚ ꪹꪄꪸꪙ ꪊꪺꪚ ꪹꪫꪸꪙ","gặp rủi gặp ro","p. t. cxđ."
"ꪊꪴꪚ ꪵꪀ꫁ꪣ","hỗn má; thơm má","cxđ. t."
"ꪊꪴꪚ ꪮꪴꪀ","mút sữa","cxđ. cxđ."
"ꪊꪴꪚ ꪁꪺꪙ","hút thuốc","cxđ. d."
"ꪊꪸ꫁ ꪊꪴꪚ ꪙꪾ꫁","giấy thiếp nước","cxđ. cxđ. đg."
"ꪊꪴꪚ ꪹꪄꪱ꫁ ꪹꪖꪸ꪿ꪫꪥ","đạt mức thóc thuế","cxđ. d. UNK"
"ꪹꪯꪸꪣ ꪊꪴꪚ ꪶꪋꪣ ꪩꪴꪀ","mẹ hôn hít con","d. cxđ. cxđ."
"ꪋꪴꪚ ꪔꪮꪀ","xấp lạt","cxđ. d."
"ꪋꪴꪚ ꪘꪷ꪿","trộn măng với gia vị","cxđ. cxđ."
"ꪋꪴꪚ ꪣꪲꪒ","tôi dao","cxđ. cxđ."
"* ꪊꪴꪒ ꪹꪩꪱ ꪹꪠꪱ ꪼꪢ꫁","đốt sạch phá sạch","SYM cxđ. đg. cxđ. cxđ."
"* ꪊꪳ꪿ ꪣꪳ꫁ ꪊꪳ꪿ ꪹꪚꪙ","nhớ ngày nhớ tháng","SYM cxđ. đg. cxđ. d."
"* ꪊꪳ꪿ ꪻꪎ꪿ ꪼꪎ꫁ ꪼꪏ꫁ ꪻꪎ꪿ ꪘꪸꪉ","ghi lòng tạc dạ","SYM cxđ. cxđ. cxđ. cxđ. cxđ. cxđ."
"ꪊꪳ꪿ ꪊꪾ ꪀꪺꪉ ꪻꪊ","ghi nhớ trong lòng","cxđ. d. t."
"ꪊꪳ꪿ ꪹꪩꪱ꪿ ꪵꪔ꪿ ꪑꪰꪉ ꪙ꫁ꪮꪥ","nhớ lại hồi còn bé","cxđ. cxđ. cxđ. d."
"ꪹꪬꪷꪉ ꪣꪳ꫁ ꪊꪳ꪿ ꪩꪳꪣ","lâu ngày nhớ chừng","t. đg. cxđ."
"ꪊꪳ꪿ ꪼꪫ꫁ ꪹꪕꪸꪉ ꪋ꪿ꪺ","ghi lòng cả đời","cxđ. cxđ."
"ꪵꪔ꫁ꪣ ꪋꪳ꪿","viết tên","đg. p."
"ꪹꪚ꪿ꪱ ꪋꪳ꪿ ꪄꪮꪉ ꪄ꫁ꪮꪥ","không phải của tôi","p. p. d. đ."
"ꪋꪳ꪿ ꪫ꪿ꪱ ꪹꪭꪸ ꪵꪩ꫁ꪫ ꪨꪷ꫁ ꪔꪳ꪿ꪣ ꪶꪁꪙ","nếu mà không xong thì thêm người","cxđ. d. cxđ. cxđ. cxđ. d."
"ꪶꪩꪉ ꪫꪸꪀ ꪋꪳ꫁ ꪶꪁꪙ ꪹꪊꪸꪚ","đi làm trừ người ốm","cxđ. cxđ. d. cxđ."
"ꪋꪳ꫁ ꪶꪁꪙ ꪹꪀꪚ","phòng bị kẻ cướp","cxđ. d. đg."
"ꪋꪳ꫁ ꪬꪸꪣ ꪩꪾ ꪣꪷ꪿","giữ gìn thân thể","cxđ. cxđ."
"ꪹꪋ ꪢꪱꪀ ꪮꪳꪀ","dây bí","cxđ. cxđ. cxđ."
"ꪹꪋ ꪀꪽ ꪼꪜ ꪵꪮꪚ ꪎꪳ","rủ nhau đi học","cxđ. d. cxđ. cxđ."
"ꪹꪋ꪿ ꪻꪎ꪿ ꪹꪤꪷꪙ","tin ở dân","cxđ. cxđ. cxđ."
"ꪹꪋ꫁ ꪹꪄꪱ꫁ ꪜꪴꪀ","thóc giống","cxđ. d. cxđ."
"ꪹꪋ꫁ ꪵꪙꪫ ꪹꪜꪱ꫁ ꪜꪴ꪿","dòng giống cha ông","cxđ. cxđ."
"ꪣꪲ ꪊꪳ꪿ꪀ ꪣꪲ ꪁꪫꪸꪙ","có chức có quyền","đg. cxđ. đg. đg."
"ꪧꪕꪳ꫁ꪀ ꪹꪕꪸꪉ ꪁꪳꪙ","trực đêm","UNK cxđ."
"ꪙꪰ꪿ꪉ ꪋꪳ꫁ꪀ ꪀꪲꪙ","ngồi chực ăn","cxđ. cxđ. d."
"ꪋꪳ꫁ꪀ ꪹꪋꪱ ꪶꪁꪙ ꪹꪊꪸꪚ","chầu chực người ốm","cxđ. d. cxđ."
"ꪼꪡ ꪭꪴ꪿ꪉ ꪋꪳ꫁ꪀ","lửa cháy rực","d. d. cxđ."
"ꪙꪾ꫁ ꪋꪳꪣ ꪏꪱꪥ","nước thấm qua sỏi cát","đg. cxđ. cxđ."
"ꪶꪠꪙ ꪋꪳꪣ","mưa nhuần","cxđ. cxđ."
"ꪹꪎ꫁ ꪋꪳꪣ ꪹꪬ꪿","áo đẫm mồ hôi","d. cxđ. cxđ."
"ꪹꪄꪱ꫁ ꪊꪳ꫁ꪙ","cơm bã chã","d. cxđ."
"* ꪘꪰꪀ ꪹꪁꪷ꪿ ꪋꪳꪙ","nặng như chì","SYM d. t. t. cxđ."
"ꪠꪰꪀ ꪋꪴꪚ ꪙ꫁ꪽ ꪋꪳ꪿ꪙ ꪮꪮꪀ","rau xấp nước tươi lại","d. cxđ. d. cxđ. đg."
"ꪀꪲꪙ ꪤꪱ ꪹꪄꪱ꫁ ꪋꪳ꪿ꪙ ꪁꪲꪉ ꪮꪮꪀ","uống thuốc vào người tỉnh lại","d. cxđ. d. cxđ. cxđ. đg."
"ꪊꪳꪉ ꪣꪰꪀ ꪫ꪿ꪱ ꪮꪲ꫁ꪙ","cứ hay nói đùa","cxđ. cxđ. t. đg."
"ꪋꪳ꪿ꪉ ꪣꪰꪀ ꪔꪴ꪿ꪀ ꪹꪚꪸꪒ","chỉ thích câu cá","UNK cxđ. cxđ. d."
"ꪶꪁꪙ ꪹꪥꪸꪒ ꪊꪳ꪿ꪉ","người làm chứng","d. cxđ."
"ꪹꪥꪸꪒ ꪊꪸ꫁ ꪊꪳ꪿ꪉ ꪐ꫁ꪽ","làm giấy chứng nhận","cxđ. cxđ."
"ꪠ꫁ꪽ ꪹꪋꪀ","bện dây; bện thừng","cxđ. cxđ."
"ꪑ꪿ꪱꪉ ꪁꪷ ꪹꪋꪙ ꪼꪜ ꪕꪱꪉ ꪘ꫁ꪱ","đi chúi đầu phía trước","cxđ. d. cxđ. cxđ. đg."
"* ꪜꪲ ꪹꪋꪙ ꪹꪚꪙ ꪄꪳ꫁ꪙ","năm tháng trôi qua","SYM d. cxđ. d. cxđ."
"ꪹꪊ꪿ꪉ ꪹꪋ ꪀꪽ ꪼꪜ ꪜ꪿ꪺꪉ","rủ rê nhau đi chơi nhởn","cxđ. d. cxđ. cxđ."
"ꪎꪮꪉ ꪝꪲ꪿ ꪙ꫁ꪮꪉ ꪹꪊ꪿ꪉ ꪹꪋ ꪀꪽ ꪵꪮꪚ ꪭ꫁ꪮꪀ","hai anh em dìu dắt nhau học tập","đg. cxđ. cxđ. d. cxđ."
"ꪙ꫁ꪮꪉ ꪭꪮꪒ ꪹꪋꪉ","em tới trường","d. .ctxđ đg."
"ꪵꪎ ꪹꪔꪸꪣ ꪹꪋ꪿ꪉ","xe đầy đồ","đg. t. cxđ."
"* ꪹꪋ꪿ꪉ ꪹꪭꪙ ꪄꪮꪉ ꪤ꫁ꪱꪫ","của cải gia tài","SYM cxđ. d. cxđ."
"ꪹꪋ꪿ꪉ ꪮꪲ꫁ꪙ ꪹꪒꪸ꪿ꪀ ꪙ꫁ꪮꪥ","đồi chơi trẻ con","cxđ. cxđ."
"ꪹꪋ꪿ꪉ ꪄ꪿ꪱ ꪄꪮꪉ ꪭꪷ꫁ ꪏꪮꪉ","tặng vặt của họ hàng","cxđ. d. cxđ."
"ꪹꪋ꪿ꪉ ꪄꪮꪉ ꪹꪤꪷꪙ ꪹꪣꪉ","của cải nhân dân","cxđ. cxđ."
"* ꪹꪋ꪿ꪉ ꪀꪲꪙ ꪁꪾ ꪢꪱꪀ","thức ăn đồ uống","SYM cxđ. d. cxđ."
"* ꪹꪋ꪿ꪉ ꪀꪲꪙ ꪹꪋ꪿ꪉ ꪙꪴ꪿ꪉ","của ăn đồ mặc","SYM cxđ. cxđ."
"* ꪹꪋ꪿ꪉ ꪎꪴ꫁ ꪄꪮꪉ ꪻꪎ꪿","đồ dùng của đựng; đồ đạc nói chung","SYM cxđ. d. cxđ."
"ꪙꪾ꫁ ꪵꪋ ꪊꪳꪒ","nước chè dạo","đg. cxđ. cxđ."
"ꪵꪀꪉ ꪠꪰꪀ ꪊꪳꪒ ꪊ꪿ꪱꪉ","canh rau nhạt nhẽo","đg. d. cxđ."
"ꪘ꫁ꪱ ꪊꪳꪒ ꪊ꪿ꪱꪉ","mặt lạnh như tiền","đg. cxđ."
"ꪹꪮꪱ ꪎꪱ ꪎ꫁ꪮꪙ ꪜꪱ","dùng vợt xúc cá","đg. cxđ. cxđ. đg."
"ꪶꪁꪙ ꪣꪲ ꪶꪕ꫁ꪥ ꪹꪚꪱ꪿ ꪎꪱ","không tha người có tội","d. đg. đg. cxđ. cxđ."
"ꪎꪱ ꪬ꪿ꪱꪉ ꪹꪭꪙ ꪨꪰꪉ","xa cách quê nhà","cxđ. d. đg."
"ꪎ꪿ꪱ ꪢꪱꪀ ꪮꪳꪀ","giàn bí","cxđ. cxđ. cxđ."
"ꪬꪺ ꪎ꪿ꪱ ꪎ꪿ꪱ","cười ầm ầm","d. cxđ."
"ꪎ꫁ꪱ ꪄ꫁ꪮꪥ ꪹꪭꪙ ꪀꪫꪱꪙ","tôi tớ nhà quan","cxđ. cxđ."
"ꪏꪱ ꪼꪬ","sọt đựng chum","cxđ. cxđ."
"ꪏꪱ ꪶꪎꪚ ꪣ꫁ꪱ","rọ mõm ngựa","cxđ. đg. d."
"ꪜꪱꪀ ꪎꪸꪉ ꪏ꪿ꪱ","nói giọng khàn","đg. cxđ. cxđ."
"ꪁ꫁ꪮꪉ ꪎꪸꪉ ꪏ꪿ꪱ","cồng kêu rè tiếng","d. cxđ. cxđ."
"ꪎꪸꪉ ꪙꪾ꫁ ꪝꪲ ꪭ꫁ꪮꪙ ꪙꪽ ꪏ꪿ꪱ ꪹꪮꪱ","tiếng mỡ kêu lèo xèo","cxđ. đg. d. d. cxđ. cxđ. đg."
"ꪶꪠꪙ ꪏ꪿ꪱ ꪏ꪿ꪱ","mưa rào","cxđ. cxđ."
"ꪏ꫁ꪱ ꪠꪰꪀ","giỏ rau","cxđ. d."
"ꪏ꫁ꪱ ꪹꪭꪙ ꪤ꫁ꪱꪫ","lục soát nhà cửa","cxđ. cxđ."
"ꪏ꫁ꪱꪀ ꪶꪮ꪿ꪉ ꪢ꫁ꪱ","lên đạn súng trường","cxđ. cxđ."
"ꪎꪱꪥ ꪒꪸ꫁ꪙ","dây điện","t. cxđ."
"ꪎꪱꪥ ꪭꪱꪥ ꪵꪤꪚ","quai dép","t. cxđ."
"* ꪙꪮꪙ ꪹꪋꪱ꫁ ꪔꪳ꪿ꪙ ꪎꪱꪥ","ngủ sớm dậy trưa","SYM cxđ. cxđ. cxđ. t."
"ꪔꪳ꪿ꪙ ꪎꪱꪥ","dậy muộn","cxđ. t."
"ꪎꪱꪥ ꪨꪲ꪿ꪉ ꪼꪜ ꪜꪰꪒ","sai lính đi bắt","t. d. cxđ. cxđ."
"ꪔꪰꪒ ꪎꪱꪥ ꪚꪳ","cắt rốn","cxđ. cxđ."
"ꪄꪱꪒ ꪎꪱꪥ ꪻꪊ","đứt hơi thở","đg. cxđ."
"ꪄꪱꪒ ꪎꪱꪥ ꪹꪩꪒ","đứt mao mạch","đg. cxđ."
"ꪎ꪿ꪱꪥ ꪁꪺꪙ ꪤꪱꪉ","xái thuốc phiện","cxđ. d."
"* ꪎ꪿ꪱꪥ ꪹꪄꪱ꫁ ꪮꪮꪀ ꪔꪱꪀ","tãi thóc ra phơi","SYM cxđ. d. đg. cxđ."
"ꪶꪛꪒ ꪎ꪿ꪱꪥ","bột bưởi rưởi","d. cxđ."
"* ꪎ꪿ꪱꪥ ꪹꪭꪙ ꪎ꪿ꪱꪥ ꪩ꪿ꪱꪉ","phá nhà phá cửa","SYM cxđ. d. cxđ. cxđ."
"ꪶꪙ꫁ꪀ ꪚꪲꪙ ꪎ꫁ꪱꪥ ꪶꪩꪉ","chim bay sà xuống","cxđ. đg. cxđ. cxđ."
"ꪶꪠꪙ ꪎ꫁ꪱꪥ ꪹꪄꪱ꫁ ꪹꪭꪙ","mưa hắt vào nhà","cxđ. cxđ. d. d."
"ꪒꪮꪙ ꪏꪱꪥ","bãi cát","d. cxđ."
"ꪣꪳ ꪏ꫁ꪱꪥ","tay trái","t. cxđ."
"ꪢꪱ ꪒꪲꪒ ꪏ꫁ꪱꪥ ꪻꪎ꪿ ꪶꪁꪙ","chó nhảy xồ vào người","d. cxđ. cxđ. cxđ. d."
"* ꪎꪱꪀ ꪬꪲꪙ ꪔꪾ ꪹꪮꪒ","chày đá giã ớt","SYM t. cxđ. cxđ. cxđ."
"ꪝꪾꪚ ꪎꪳ ꪼꪫ꫁ ꪎꪱꪀ ꪎ꪿ꪱꪥ","sách để tản mạn","cxđ. cxđ. cxđ."
"ꪶꪙ꫁ꪀ ꪚꪲꪙ ꪎꪱꪀ ꪎ꪿ꪱꪥ ꪹꪄꪱ꫁ ꪜ꪿ꪱ","chim bay tản mát vào rừng","cxđ. đg. cxđ. d. d."
"ꪹꪭꪙ ꪤ꫁ꪱꪫ ꪎꪱꪀ ꪎꪸꪫ","nhà cửa tan hoang","cxđ. cxđ."
"ꪹꪐ꪿ ꪏꪱꪀ","thịt mụi","cxđ. cxđ."
"ꪼꪫ꫁ ꪏꪱꪀ ꪏꪱꪥ","để lộn xộn","cxđ. cxđ."
"ꪹꪬ꪿ ꪶꪔ꪿ꪀ ꪏꪱꪀ ꪏꪱꪀ","mồi hôi nhễ nhại","cxđ. cxđ. cxđ."
"ꪎꪮꪉ ꪎꪱꪣ ꪶꪁꪙ","hai ba người; vài ba người","đg. cxđ. d."
"* ꪎꪱꪣ ꪎꪲꪚ ꪒꪱꪉ ꪢ꫁ꪱ","ba mươi đang xoan","SYM cxđ. cxđ."
"ꪎ꫁ꪱꪣ ꪹꪢꪉ","xẻ mương; trẻ mương","cxđ. cxđ."
"ꪎ꫁ꪱꪣ ꪵꪜꪉ ꪹꪢꪉ ꪠꪱꪥ","sửa sang mương phai","cxđ. cxđ."
"ꪎ꫁ꪱꪣ ꪶꪎ ꪫꪸꪀ ꪹꪭꪙ","bàn định việc nhà","cxđ. d. d."
"ꪵꪮ꪿ꪙ ꪏꪱꪣ ꪼꪁ","phi nước kiệu","d. cxđ."
"ꪙꪾ꫁ ꪏ꪿ꪱꪣ ꪹꪄꪱ꫁ ꪊꪸ꫁","nước thấm vào giấy","đg. cxđ. d. cxđ."
"ꪤꪱ ꪏ꪿ꪱꪣ ꪹꪄꪱ꫁ ꪶꪔ","thuốc ngấm vào người","cxđ. cxđ. d. t."
"ꪎꪱꪙ ꪹꪎ꫁","đan áo","đg. d."
"ꪹꪣꪱ ꪹꪨꪱ꫁ ꪎꪱꪙ ꪏꪱ","chếnh choáng hơi men","cxđ. cxđ. cxđ."
"ꪎꪱꪙ ꪏꪱ ꪣꪳ ꪀꪮꪒ ꪵꪮꪫ ꪁ꫁ꪽ","đan tay ôm lưng nhau","cxđ. đg. d. đg."
"ꪜꪺꪀ ꪎ꪿ꪱꪙ","mối xông","cxđ. cxđ."
"ꪏꪱꪙ ꪠꪰꪀ","tỉa rau","đg. d."
"ꪼꪜ ꪏꪱꪙ ꪣꪳ꫁","đi cách ngày","cxđ. đg. đg."
"ꪒꪱꪫ ꪮꪮꪀ ꪏꪱꪙ ꪨꪺꪉ","sao mọc lác đác","cxđ. đg. đg. d."
"ꪏꪱꪙ ꪶꪁꪙ ꪣꪱ","họa hoằn mới có người đến","đg. d. đg."
"ꪏꪱꪙ ꪩꪱꪉ ꪊ꪿ꪽ ꪹꪬꪸꪙ ꪘ꫁ꪱ","hoằn hoằn mới thấy mặt","cxđ. cxđ. cxđ."
"ꪏꪱꪙ ꪹꪕ꪿ ꪊꪰ꪿ꪉ ꪀꪲꪙ ꪹꪨꪱ꫁","đôi khi mới uống rượu","cxđ. cxđ. d. cxđ."
"ꪏꪱꪙ ꪹꪕ꪿ ꪣꪱ ꪮꪲ꫁ꪙ ꪹꪭꪙ","mấy khi đến chơi nhà","cxđ. đg. đg. d."
"ꪜ꪿ꪱ ꪼꪣ꫁ ꪏꪱꪙ ꪏꪲꪙ","rừng cây lơ thơ","d. d. cxđ."
"ꪒ꫁ꪱꪣ ꪶꪁꪙ ꪏꪱꪙ ꪏꪲꪙ","loáng thoáng vài người","cxđ. d. cxđ."
"ꪏ꫁ꪱꪙ ꪹꪮꪱ ꪹꪐ꫁","gằn lấy cái","cxđ. đg. cxđ."
"ꪏ꫁ꪱꪙ ꪹꪎꪷꪉ ꪹꪮꪱ ꪹꪄꪱ꫁ ꪎꪱꪙ","gằn lọc lấy gạo","cxđ. đg. d."
"ꪎꪱꪉ ꪶꪠꪣ","chải tóc","d. d."
"ꪎꪱꪉ ꪣꪳ","hơ tay","d. t."
"ꪎꪱꪉ ꪁꪷ ꪼꪫ꫁ ꪻꪬ꫁ ꪭꪴ꫁","dặng hắng để báo hiệu","cxđ. cxđ. cxđ. đg."
"ꪔꪷ꪿ ꪎ꪿ꪱꪉ","đánh quay","đg. d."
"* ꪹꪭꪙ ꪀ꫁ꪫꪱꪉ ꪤꪴ꪿ ꪎ꪿ꪱꪉ","nhà rộng ở thoáng","SYM d. đg. p. d."
"ꪮꪱꪥ ꪡ꫁ꪱ ꪤꪴ꪿ ꪎ꪿ꪱꪉ","không khí dễ chịu","d. p. d."
"ꪎ꪿ꪱꪉ ꪹꪨꪱ꫁","tỉnh rượu","d. cxđ."
"ꪀꪲꪙ ꪶꪎ꫁ꪣ ꪻꪬ꫁ ꪎ꪿ꪱꪉ ꪹꪨꪱ꫁","ăn chua cho dã rượu","d. d. cxđ. d. cxđ."
"ꪎ꪿ꪱꪉ ꪬꪺ ꪻꪊ","tâm hồn thanh thản","d. cxđ."
"ꪩꪺꪉ ꪀꪲꪙ ꪤꪴ꪿ ꪎ꪿ꪱꪉ ꪚꪱꪉ","cuộc sống an nhàn","cxđ. cxđ. cxđ."
"ꪀꪲꪙ ꪤꪱ ꪎꪸ ꪎ꪿ꪱꪉ ꪑꪱꪒ","uống thuốc vào tỉnh táo","d. cxđ. t. cxđ."
"ꪼꪋ ꪏꪱ ꪹꪭꪙ ꪎ꪿ꪱꪉ ꪎꪱ","mái nhà hổng","cxđ. cxđ. d. cxđ."
"ꪚ꪿ꪮꪙ ꪤꪴ꪿ ꪎꪱꪉ ꪻꪎ","chỗ ở sáng sửa","d. p. d. đg."
"ꪎ꫁ꪱꪉ ꪝꪱꪙ","cạnh bàn","d. d."
"ꪒꪴꪀ ꪎ꫁ꪱꪉ","xương sường","d. d."
"ꪎ꫁ꪱꪉ ꪀꪷ꪿ ꪹꪭꪙ ꪼꪢ꪿","củng cố nhà máy","cxđ. d. d."
"ꪎ꫁ꪱꪉ ꪣꪷ꪿ ꪻꪬ꫁ ꪋ꪿ꪽ","trang điểm cho đẹp","cxđ. cxđ. t."
"ꪎ꫁ꪱꪉ ꪵꪜꪉ ꪹꪭꪙ ꪤ꫁ꪱꪫ","sửa sang nhà cửa","cxđ. cxđ."
"ꪎ꫁ꪱꪉ ꪵꪔ꪿ꪉ ꪚ꫁ꪱꪙ ꪹꪣꪉ","xây đắp bản mường","cxđ. d."
"ꪎ꫁ꪱꪉ ꪶꪎꪣ ꪎꪺꪙ ꪹꪭꪀ","tu sửa vườn tược","cxđ. cxđ."
"ꪢꪱꪀ ꪬꪲ꪿ꪉ ꪣ꫁ꪱ ꪙꪽ ꪏ꪿ꪱꪉ ꪏ꪿ꪱꪉ","nhạc ngựa kêu xoang xoảng","cxđ. d. cxđ. cxđ."
"ꪵꪎꪉ ꪼꪡ","ánh lửa","d. d."
"ꪵꪎꪉ ꪭꪴ꪿ꪉ ꪔꪱ ꪹꪫꪸꪙ","tia sáng mặt trời","cxđ. cxđ."
"ꪹꪜꪸꪒ ꪝꪷ꪿ ꪬꪺ ꪵꪎꪉ","vịt đực đầu biêng biếc","cxđ. đg. d. d."
"ꪠ꫁ꪱꪥ ꪵꪎꪉ ꪙꪲꪙ","vải anh ánh màu chàm","d. d. đg."
"ꪠ꫁ꪱꪥ ꪒꪾ ꪵꪎꪉ","vải đen nhánh","d. cxđ."
"ꪵꪎꪉ ꪬꪲ꪿ꪉ ꪬ꫁ꪮꪥ ꪵꪎꪉ ꪜꪰ꫁ꪉ ꪜꪰ꫁ꪉ","ánh đom đóm xanh lè","d. cxđ. cxđ."
"ꪶꪩ꫁ꪣ ꪵꪎꪉ ꪔꪱ ꪡꪴ꫁ꪉ","ngã nảy đom đóm","cxđ. cxđ."
"ꪉꪲꪙ ꪎꪸꪉ ꪉ꫁ꪫꪱꪉ ꪵꪎ꪿ꪉ","nghe tiếng ve kêu","cxđ. cxđ. UNK cxđ."
"ꪹꪖꪱ꫁ ꪵꪏꪉ ꪻꪎ꪿ ꪘ꪿ꪮꪣ ꪹꪚꪱ꪿ ꪼꪒ꫁","già sánh với trẻo sao được","đ. d. cxđ. d. cxđ. t."
"ꪵꪏꪉ ꪵꪁ ꪀꪽ ꪼꪜ ꪮꪲ꫁ꪙ","sánh vai đi chơi","cxđ. d. cxđ. đg."
"ꪔ꪿ꪮꪥ ꪵꪎ꪿ꪉ ꪙꪽ ꪵꪏ꪿ꪉ ꪵꪏ꪿ꪉ","đánh thanh la kêu beng beng","cxđ. cxđ. cxđ. cxđ."
"* ꪠꪴ꫁ ꪵꪎ꫁ ꪠꪴ꫁ ꪎꪱꪫ","con gái con lứa","SYM cxđ. d. cxđ."
"ꪎꪱꪫ ꪹꪋꪀ","núc dây","t. cxđ."
"ꪎꪱꪫ ꪬꪱ ꪭꪷ꫁ ꪏꪮꪉ","lần mối tìm họ hàng","t. đg. cxđ."
"ꪎꪱꪫ ꪨꪮꪀ","ươm tơ","t. UNK"
"ꪎ꪿ꪱꪫ ꪬꪱꪫ ꪹꪄꪱ꫁ ꪙꪾ꫁","tìm kiếm thóc lúa","cxđ. d. d."
"ꪎ꪿ꪱꪫ ꪜꪰꪒ ꪠꪲ꫁","lùng bắt phỉ","cxđ. UNK"
"ꪎ꫁ꪱꪫ ꪔꪱꪀ ꪎ꫁ꪺꪉ ꪹꪎ꫁","sào phơi quần áo","cxđ. cxđ. cxđ."
"ꪀ꪿ꪱꪥ ꪹꪎ꫁ ꪤ꪿ꪽ","bắc lao màn","t. d. cxđ."
"ꪏꪱꪫ ꪜꪲ","hai mươi tuổi","cxđ. d."
"ꪻꪚ ꪼꪣ꫁ ꪬ꪿ꪺꪉ ꪙꪽ ꪏ꪿ꪱꪫ ꪏ꪿ꪱꪫ","lá rụng kêu rào rào","d. d. cxđ. cxđ. UNK UNK"
"ꪏ꫁ꪱꪫ ꪙꪱ","sào ruộng","cxđ. d."
"ꪼꪀ꪿ ꪭ꫁ꪮꪉ ꪏ꫁ꪱꪫ ꪏ꫁ꪱꪫ","gà kêu xao xác","d. đg. cxđ."
"ꪶꪙ꫁ꪀ ꪘꪴ ꪙꪽ ꪏ꫁ꪱꪫ ꪏ꫁ꪱꪫ","chim chóc xào xạc","cxđ. cxđ. cxđ."
"ꪼꪀ꪿ ꪙ꫁ꪮꪥ ꪵꪩ꪿ꪙ ꪏ꫁ꪱꪫ ꪏ꫁ꪱꪫ","gà con chạy nháo nhác","d. d. cxđ. cxđ."
"ꪼꪬ꫁ ꪏ꫁ꪱꪫ ꪏ꫁ꪱꪫ","khóc ầm ĩ","đg. cxđ."
"ꪎꪱꪚ ꪼꪣ꫁ ꪻꪎ꪿ ꪻꪬ꫁ ꪁꪰꪒ","ken cây vào cho chặt","cxđ. d. cxđ. cxđ. d."
"ꪎꪱꪚ ꪣꪳ ꪻꪎ꪿ ꪭꪰꪀ ꪵꪭ꫁","thọc tay vào nách","cxđ. t. cxđ. cxđ."
"ꪙꪰ꪿ꪉ ꪎꪱꪚ ꪪ꪿ꪱꪉ","ngồi xen","cxđ. cxđ."
"ꪶꪠꪙ ꪎꪱꪒ ꪎꪲꪒ","mưa lất phất","cxđ. cxđ."
"ꪶꪠꪙ ꪏꪱꪒ ꪶꪩꪉ","mưa ập xuống","cxđ. cxđ. cxđ."
"ꪏꪱꪒ ꪹꪄꪱ꫁ ꪔꪴ","xộc vào cửa","cxđ. d. d."
"ꪜꪱ ꪝꪴ꪿ꪉ ꪏꪱꪒ ꪼꪜ","cá lao vút đi","đg. đg. cxđ. cxđ."
